date,position_count,gross_market_value,net_market_value,gross_exposure,net_exposure,cash_proxy,turnover,turnover_rate,missing_price_count,forward_filled_price_count,fill_price_fallback_count
2025-11-04 00:00:00,1,500932.0,500932.0,0.4333291670560726,0.4333291670560726,655076.0374999996,500500.0,0.43295546723220785,1,0,1
2025-11-05 00:00:00,2,995636.0,995636.0,0.8412188224409278,0.8412188224409278,187927.62629999965,494703.99999999994,0.4179783739607815,2,0,2
2025-11-06 00:00:00,1,494703.99999999994,494703.99999999994,0.41062592605176584,0.41062592605176584,710051.8826999997,505812.0,0.4198460511904003,1,0,1
2025-11-07 00:00:00,2,994296.0,994296.0,0.828936439145853,0.828936439145853,205188.00509999972,499592.0,0.41650576237433823,2,0,2
2025-11-10 00:00:00,1,499592.0,499592.0,0.41786822814274455,0.41786822814274455,695981.0690999997,533120.0,0.44591168350866306,1,0,1
2025-11-11 00:00:00,2,999552.0,999552.0,0.828232805289079,0.828232805289079,207297.0810999996,499959.99999999994,0.41426886578419925,2,0,2
2025-11-12 00:00:00,1,499959.99999999994,499959.99999999994,0.4139150999597508,0.4139150999597508,707920.5533999996,501759.0,0.41540448564026045,1,0,1
2025-11-13 00:00:00,2,997964.0,997964.0,0.826313040101774,0.826313040101774,209767.15219999966,498004.0,0.4123467371797418,2,0,2
2025-11-14 00:00:00,2,997964.0,997964.0,0.8308451812526599,0.8308451812526599,203179.15219999966,0.0,0.0,2,0,2
2025-11-17 00:00:00,2,997964.0,997964.0,0.8368803130840798,0.8368803130840798,194517.15219999966,0.0,0.0,2,0,2
2025-11-18 00:00:00,1,499959.99999999994,499959.99999999994,0.4196116732792303,0.4196116732792303,691522.5821999996,481900.0,0.40445408703348495,1,0,1
2025-11-19 00:00:00,2,992593.0,992593.0,0.842427163389322,0.842427163389322,185660.79229999962,492633.0,0.41810431947633303,2,0,2
2025-11-20 00:00:00,2,992593.0,992593.0,0.8378215595063673,0.8378215595063673,192137.79229999986,0.0,0.0,2,0,2
2025-11-21 00:00:00,2,992593.0,992593.0,0.8517919650881243,0.8517919650881243,172706.79229999986,0.0,0.0,2,0,2
2025-11-24 00:00:00,1,499959.99999999994,499959.99999999994,0.4173581512003786,0.4173581512003786,697955.9830999998,499364.0,0.4168606204816903,1,0,1
2025-11-25 00:00:00,2,1001857.0,1001857.0,0.8321801217361577,0.8321801217361577,202037.41399999964,501897.0,0.4168945334104691,2,0,2
2025-11-26 00:00:00,2,1001857.0,1001857.0,0.833752201043412,0.833752201043412,199767.41399999987,0.0,0.0,2,0,2
2025-11-27 00:00:00,2,1001857.0,1001857.0,0.8259506453200423,0.8259506453200423,211117.41399999987,0.0,0.0,2,0,2
2025-11-28 00:00:00,1,499959.99999999994,499959.99999999994,0.41222959375538204,0.41222959375538204,712859.2821999998,517106.0,0.4263669019690987,1,0,1
2025-12-01 00:00:00,2,1012047.9999999999,1012047.9999999999,0.8556941483543267,0.8556941483543267,170673.65579999995,512087.99999999994,0.43297423150134223,2,0,2
2025-12-02 00:00:00,2,1012047.9999999999,1012047.9999999999,0.8567952771066544,0.8567952771066544,169153.65579999995,0.0,0.0,2,0,2
2025-12-03 00:00:00,2,1012047.9999999999,1012047.9999999999,0.8670602222053879,0.8670602222053879,155169.65579999995,0.0,0.0,2,0,2
2025-12-04 00:00:00,1,499959.99999999994,499959.99999999994,0.4289447188491887,0.4289447188491887,665598.1197999998,465120.0,0.3990534595390325,1,0,1
2025-12-05 00:00:00,2,997710.0,997710.0,0.8679823970319847,0.8679823970319847,151748.7947999998,497750.0,0.43302987653994685,2,0,2
2025-12-08 00:00:00,2,997710.0,997710.0,0.8540510946682356,0.8540510946682356,170498.7947999998,0.0,0.0,2,0,2
2025-12-09 00:00:00,2,997710.0,997710.0,0.8490724076234966,0.8490724076234966,177348.7947999998,0.0,0.0,2,0,2
2025-12-10 00:00:00,1,499959.99999999994,499959.99999999994,0.425531706710473,0.425531706710473,674946.5747999998,507400.0,0.43186412509979605,1,0,1
2025-12-11 00:00:00,2,995350.0,995350.0,0.8601975220334792,0.8601975220334792,161767.95779999997,495390.0,0.42812402716648945,2,0,2
2025-12-12 00:00:00,1,499959.99999999994,499959.99999999994,0.43267659427563476,0.43267659427563476,655545.0737999999,476280.00000000006,0.4121833913145039,1,0,1
2025-12-15 00:00:00,2,993409.0,993409.0,0.8631073724486709,0.8631073724486709,157559.03909999994,493449.0,0.4287251976048377,2,0,2
2025-12-16 00:00:00,2,993409.0,993409.0,0.861699117844197,0.861699117844197,159440.03909999994,0.0,0.0,2,0,2
2025-12-17 00:00:00,2,993409.0,993409.0,0.8668853198954093,0.8668853198954093,152543.03909999994,0.0,0.0,2,0,2
2025-12-18 00:00:00,1,499959.99999999994,499959.99999999994,0.43801613389903205,0.43801613389903205,641459.1425999999,479655.0,0.42022687556072535,1,0,1
2025-12-19 00:00:00,2,978873.9999999999,978873.9999999999,0.8803865095739413,0.8803865095739413,132994.4684,478913.99999999994,0.4307290058231136,2,0,2
2025-12-22 00:00:00,1,499959.99999999994,499959.99999999994,0.44467259539043075,0.44467259539043075,624372.8354,462110.00000000006,0.4110081867666853,1,0,1
2025-12-23 00:00:00,2,1027270.0,1027270.0,0.9857231091663322,0.9857231091663322,14878.642399999895,527310.0,0.5059834831100866,2,0,2
2025-12-24 00:00:00,1,499959.99999999994,499959.99999999994,0.49462965733044695,0.49462965733044695,510816.43160000007,414036.0,0.4096217393440854,1,0,1
2025-12-25 00:00:00,2,991024.0,991024.0,0.9434324443052167,0.9434324443052167,59421.11239999998,491064.00000000006,0.4674818267068173,2,0,2
2025-12-26 00:00:00,2,991024.0,991024.0,0.955504908632647,0.955504908632647,46149.11239999987,0.0,0.0,2,0,2
2025-12-29 00:00:00,2,991024.0,991024.0,0.9892620131615091,0.9892620131615091,10757.112399999984,0.0,0.0,2,0,2
2025-12-30 00:00:00,1,499959.99999999994,499959.99999999994,0.49477388248305154,0.49477388248305154,510521.7932,491064.00000000006,0.485970161268216,1,0,1
2025-12-31 00:00:00,2,1002845.0,1002845.0,1.010437500432884,1.010437500432884,-10359.072300000116,502885.0,0.5066923227469757,2,0,2
2026-01-05 00:00:00,2,1002845.0,1002845.0,1.006512805433877,1.006512805433877,-6489.072300000116,0.0,0.0,2,0,2
2026-01-06 00:00:00,2,1002845.0,1002845.0,1.006512805433877,1.006512805433877,-6489.072300000116,0.0,0.0,2,0,2
2026-01-07 00:00:00,1,499959.99999999994,499959.99999999994,0.5012136015279809,0.5012136015279809,497538.8677,490200.0,0.491429129268374,1,0,1
2026-01-08 00:00:00,2,999928.0,999928.0,0.9849519268065086,0.9849519268065086,15276.877299999935,499968.0,0.49247990349464804,2,0,2
2026-01-09 00:00:00,2,999928.0,999928.0,1.020862962022072,1.020862962022072,-20435.12269999995,0.0,0.0,2,0,2
2026-01-12 00:00:00,2,999928.0,999928.0,1.020862962022072,1.020862962022072,-20435.12269999995,0.0,0.0,2,0,2
2026-01-13 00:00:00,1,499959.99999999994,499959.99999999994,0.5136233944910863,0.5136233944910863,473438.0293000001,476160.0,0.4891729648789417,1,0,1
2026-01-14 00:00:00,2,994872.0,994872.0,1.0207400478063107,1.0207400478063107,-20214.444299999974,494912.0,0.5077803964127213,2,0,2
2026-01-15 00:00:00,2,994872.0,994872.0,1.0207400478063107,1.0207400478063107,-20214.444299999974,0.0,0.0,2,0,2
2026-01-16 00:00:00,2,994872.0,994872.0,1.035701900483203,1.035701900483203,-34294.444299999974,0.0,0.0,2,0,2
2026-01-19 00:00:00,1,499959.99999999994,499959.99999999994,0.5243996478426239,0.5243996478426239,453434.9957,475200.0,0.4984292996536021,1,0,1
2026-01-20 00:00:00,2,999932.0,999932.0,0.9473430866876865,0.9473430866876865,55580.00410000002,499972.0,0.47367722778890564,2,0,2
2026-01-21 00:00:00,1,499959.99999999994,499959.99999999994,0.44500663010123126,0.44500663010123126,623528.879,670417.0,0.5967277580858013,1,0,1
